start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.078125,-0.41015625,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,217,1,-0.041666667,-0.399739583,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,478,0,-0.03125,-0.3828125,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_15h55.53.709,Digit Span Task,2021.2.3,Win32,60.07088364,,,,,,,,,,,,,,,
