start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
,,,,,,,,,,,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,3141,1,-0.096354167,-0.401041667,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,"3561
",0,-0.096354167,-0.401041667,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,2 391,0,-0.096354167,-0.395833333,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,SM,001,2022-03-15_11h12.29.762,Digit Span Task,2021.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,
